url,universal_product_code,title,price_including_tax,price_excluding_tax,number_available,product_description,category,review_rating,image_url
"('http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html',)","(<tr>
<th>UPC</th><td>a897fe39b1053632</td>
</tr>,)","(<title>
    A Light in the Attic | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£51.77</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£51.77</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (22 available)</td>
</tr>,)","<meta content=""
    It's hard to imagine a world without A Light in the Attic. This now-classic collection of poetry and drawings from Shel Silverstein celebrates its 20th anniversary with this special edition. Silverstein's humorous and creative verse can amuse the dowdiest of readers. Lemon-faced adults and fidgety kids sit still and read these rhythmic words and laugh and smile and love th It's hard to imagine a world without A Light in the Attic. This now-classic collection of poetry and drawings from Shel Silverstein celebrates its 20th anniversary with this special edition. Silverstein's humorous and creative verse can amuse the dowdiest of readers. Lemon-faced adults and fidgety kids sit still and read these rhythmic words and laugh and smile and love that Silverstein. Need proof of his genius? RockabyeRockabye baby, in the treetopDon't you know a treetopIs no safe place to rock?And who put you up there,And your cradle, too?Baby, I think someone down here'sGot it in for you. Shel, you never sounded so good. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/poetry_23/index.html"">Poetry</a>
</li>,)","(<p class=""star-rating Three"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/a-light-in-the-attic_1000/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/a-light-in-the-attic_1000/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""A Light in the Attic"" src=""../../media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg""/>"
"('http://books.toscrape.com/catalogue/the-black-maria_991/index.html',)","(<tr>
<th>UPC</th><td>1dfe412b8ac00530</td>
</tr>,)","(<title>
    The Black Maria | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£52.15</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£52.15</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (19 available)</td>
</tr>,)","<meta content=""
    Praise for Aracelis Girmay:&quot;[Girmay's] every loss—she calls them estrangements—is a yearning for connection across time and place; her every fragment is a bulwark against ruin.&quot; — O, The Oprah Magazine &quot;In Aracelis Girmay we have a poet who collects, polishes, and shares stories with such brilliant invention, tenderness, and intellectual liveliness that it is understandabl Praise for Aracelis Girmay:&quot;[Girmay's] every loss—she calls them estrangements—is a yearning for connection across time and place; her every fragment is a bulwark against ruin.&quot; — O, The Oprah Magazine &quot;In Aracelis Girmay we have a poet who collects, polishes, and shares stories with such brilliant invention, tenderness, and intellectual liveliness that it is understandable that we think of her as the blessed curator of our collective histories. There is in her art the vulnerability of one who lives inside of the stories that she gathers in this remarkable collection. Her poems set off alarms even as they transform the world she inhabits, showing us, in the process, exactly what she asks of Romare Bearden’s art: ‘…how not to // assign all blackness near the sea / a captivity.’ This is one of the many sweet contradictions in the black maria, which ‘is a black flag / wounding the pastoral.’ I am deeply thankful that we have a poet of her unique and singular talent writing today.&quot; —Kwame DawesTaking its name from the moon's dark plains, misidentified as seas by early astronomers, the black maria investigates African diasporic histories, the consequences of racism within American culture, and the question of human identity. Central to this project is a desire to recognize the lives of Eritrean refugees who have been made invisible by years of immigration crisis, refugee status, exile, and resulting statelessness. The recipient of a 2015 Whiting Award for Poetry, Girmay's newest collection elegizes and celebrates life, while wrestling with the humanistic notion of seeing beyond: seeing violence, seeing grace, and seeing each other better.&quot;to the sea&quot;great storage house, historyon which we rode, we touchedthe brief pulse of your flutteringpages, spelled with salt &amp; life,your rage, your indifferenceyour gentleness washing our feet,all of you going onwhether or not we live,to you we bring our carnationsyellow &amp; pink, how they floatlike bright sentences atopyour memory's dark hairAracelis Girmay is the author of three poetry collections, the black maria; Kingdom Animalia, which won the Isabella Gardner Award and was a finalist for the NBCC Award; and Teeth. The recipient of a 2015 Whiting Award, she has received grants and fellowships from the Jerome, Cave Canem, and Watson foundations, as well as Civitella Ranieri and the NEA. She currently teaches at Hampshire College's School for Interdisciplinary Arts and in Drew University's low residency MFA program. Originally from Santa Ana, California, she splits her time between New York and Amherst, Massachusetts. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/poetry_23/index.html"">Poetry</a>
</li>,)","(<p class=""star-rating One"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/the-black-maria_991/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/the-black-maria_991/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""The Black Maria"" src=""../../media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg""/>"
"('http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html',)","(<tr>
<th>UPC</th><td>30a7f60cd76ca58c</td>
</tr>,)","(<title>
    Shakespeare's Sonnets | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£20.66</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£20.66</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (19 available)</td>
</tr>,)","<meta content=""
    This book is an important and complete collection of the Sonnets of William Shakespeare. Most readers are aware of the great plays and manuscripts written for the stage, but are unaware of the magnificent Sonnets which were written around the same period. This is an excellent, complete collection of the Sonnets and poetry of William Shakespeare and should not be missed by This book is an important and complete collection of the Sonnets of William Shakespeare. Most readers are aware of the great plays and manuscripts written for the stage, but are unaware of the magnificent Sonnets which were written around the same period. This is an excellent, complete collection of the Sonnets and poetry of William Shakespeare and should not be missed by those interested in the completion of a collection of his writings and those interested in early poetic works. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/poetry_23/index.html"">Poetry</a>
</li>,)","(<p class=""star-rating Four"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/shakespeares-sonnets_989/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/shakespeares-sonnets_989/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""Shakespeare's Sonnets"" src=""../../media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg""/>"
"('http://books.toscrape.com/catalogue/olio_984/index.html',)","(<tr>
<th>UPC</th><td>feb7cc7701ecf901</td>
</tr>,)","(<title>
    Olio | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£23.88</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£23.88</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (19 available)</td>
</tr>,)","<meta content=""
    Part fact, part fiction, Tyehimba Jess's much anticipated second book weaves sonnet, song, and narrative to examine the lives of mostly unrecorded African American performers directly before and after the Civil War up to World War I. Olio is an effort to understand how they met, resisted, complicated, co-opted, and sometimes defeated attempts to minstrelize them.So, while Part fact, part fiction, Tyehimba Jess's much anticipated second book weaves sonnet, song, and narrative to examine the lives of mostly unrecorded African American performers directly before and after the Civil War up to World War I. Olio is an effort to understand how they met, resisted, complicated, co-opted, and sometimes defeated attempts to minstrelize them.So, while I lead this choir, I still find thatI'm being led…I'm a missionarymending my faith in the midst of this flock…I toil in their fields of praise. When folks seethese freedmen stand and sing, they hear their Godspeak in tongues. These nine dark mouths sing shelter;they echo a hymn's haven from slavery's weather.Detroit native Tyehimba Jess' first book of poetry, leadbelly, was a winner of the 2004 National Poetry Series. Jess, a Cave Canem and NYU Alumni, has received fellowships from the Whiting Foundation, National Endowment for the Arts, Illinois Arts Council, and the Provincetown Fine Arts Work Center. Jess is also a veteran of the 2000 and 2001 Green Mill Poetry Slam Team. He exhibited his poetry at the 2011 TEDxNashville Conference. Jess is an Associate Professor of English at College of Staten Island. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/poetry_23/index.html"">Poetry</a>
</li>,)","(<p class=""star-rating One"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/olio_984/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/olio_984/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""Olio"" src=""../../media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg""/>"
"('http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html',)","(<tr>
<th>UPC</th><td>55f9da0c5eea2e10</td>
</tr>,)","(<title>
    You can't bury them all: Poems | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£33.63</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£33.63</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (17 available)</td>
</tr>,)","<meta content=""
    A poetry that is at once harrowing, angry, and achingly beautiful Patrick Woodcock has spent the past seven years engaging with and being shaped by the people, politics, and landscapes of the Kurdish north of Iraq, Fort Good Hope in the Northwest Territories, and Azerbaijan. His powerful new collection offers a poetry that simultaneously explores hope and horror while doc A poetry that is at once harrowing, angry, and achingly beautiful Patrick Woodcock has spent the past seven years engaging with and being shaped by the people, politics, and landscapes of the Kurdish north of Iraq, Fort Good Hope in the Northwest Territories, and Azerbaijan. His powerful new collection offers a poetry that simultaneously explores hope and horror while documenting the transformative processes of coping. You can’t bury them all follows the narratives we construct to survive the tragic failures of our humanity to their very end: everything that’s buried by snow, dirt, and ash, just like everything that’s buried by politics, homophobia, sexism, racism, religion; and history is resurrected, demanding to be heard and addressed.In Woodcock’s poetry, how we deal with what resurfaces is the key. What do those who suffer really mean to those who have abandoned them to small, conscience-soothing charitable donations or the occasional tweet? How can the poet, or anyone else, sleep at night knowing homosexuals are being thrown off building tops, after one steps into a hole and finds an abandoned corpse in an Azeri cemetery, or after the elders of an Aboriginal community are left helpless against those who only want to exploit them? Still, You can’t bury them all demonstrates that the world is not just the horrific place the media often portrays. In each of the worlds he touches, Woodcock discovers a spirit and strength to celebrate. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/poetry_23/index.html"">Poetry</a>
</li>,)","(<p class=""star-rating Two"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/you-cant-bury-them-all-poems_961/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/you-cant-bury-them-all-poems_961/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""You can't bury them all: Poems"" src=""../../media/cache/b7/44/b7440aa88046b0bf8cba50d59295518e.jpg""/>"
"('http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html',)","(<tr>
<th>UPC</th><td>b4fd5943413e089a</td>
</tr>,)","(<title>
    Slow States of Collapse: Poems | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£57.31</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£57.31</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (17 available)</td>
</tr>,)","<meta content=""
    The eagerly anticipated debut from one of Canada’s most exciting new poets In her debut collection, Ashley-Elizabeth Best explores the cultivation of resilience during uncertain and often trying times. It’s a book built around day-to-day conflicts — poems about love, family, grief, power, and longing. Navigating the fault lines of popular culture and traditional poetry to The eagerly anticipated debut from one of Canada’s most exciting new poets In her debut collection, Ashley-Elizabeth Best explores the cultivation of resilience during uncertain and often trying times. It’s a book built around day-to-day conflicts — poems about love, family, grief, power, and longing. Navigating the fault lines of popular culture and traditional poetry to assert that we are all history makers, Slow States of Collapse enters the landscape of personal narrative in an attempt to reconcile life’s little universal griefs.Slow States of Collapse presents a world that is at once menacing and full of wonder and grace. It’s a poetry of “casual cruelty” and “kisses like / puncture wounds,” of “something too tender to touch” and “the threat of an intense beauty.” In this collection, illness confronts bedside manners while a migrant restlessness also paints remarkable portraits of shifting self-image, and in the process the nature of personal and political power is reimagined. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/poetry_23/index.html"">Poetry</a>
</li>,)","(<p class=""star-rating Three"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/slow-states-of-collapse-poems_960/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/slow-states-of-collapse-poems_960/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""Slow States of Collapse: Poems"" src=""../../media/cache/db/ac/dbac3faca8a799824f5725d66c0fcce3.jpg""/>"
"('http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html',)","(<tr>
<th>UPC</th><td>657fe5ead67a7767</td>
</tr>,)","(<title>
    Untitled Collection: Sabbath Poems 2014 | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£14.27</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£14.27</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (16 available)</td>
</tr>,)","<meta content=""
    More than thirty-five years ago, when the weather allowed, Wendell Berry began spending his sabbaths outdoors, walking and wandering around familiar territory, seeking a deep intimacy only time could provide. These walks arranged themselves into poems and each year since he has completed a sequence dated by the year of its composition. Last year we collected the lot into a More than thirty-five years ago, when the weather allowed, Wendell Berry began spending his sabbaths outdoors, walking and wandering around familiar territory, seeking a deep intimacy only time could provide. These walks arranged themselves into poems and each year since he has completed a sequence dated by the year of its composition. Last year we collected the lot into a collection, This Day, the Sabbath Poems 1979-2013. This new sequence for the following year is one of the richest yet. This group provides a virtual syllabus for all of Mr. Berry’s cultural and agricultural work in concentrated form. Many of these poems are drawn from the view from a small porch in the woods, a place of stillness and reflection, a vantage point “of the one/life of the forest composed/of uncountable lives in countless/years each life coherent itself within/ the coherence, the great composure,/of all.” A new collection of Wendell Berry poems is always an occasion of joyful celebration and this one is especially so. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/poetry_23/index.html"">Poetry</a>
</li>,)","(<p class=""star-rating Four"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/untitled-collection-sabbath-poems-2014_953/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/untitled-collection-sabbath-poems-2014_953/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""Untitled Collection: Sabbath Poems 2014"" src=""../../media/cache/65/6e/656e79dfd4f8b6bf19ffde2c75ceda81.jpg""/>"
"('http://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html',)","(<tr>
<th>UPC</th><td>31001a1210623bd4</td>
</tr>,)","(<title>
    Poems That Make Grown Women Cry | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£14.19</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£14.19</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (15 available)</td>
</tr>,)","<meta content=""
    Following the success of their anthology Poems That Make Grown Men Cry, father-and-son team Anthony and Ben Holden, working with Amnesty International, have asked the same revealing question of 100 remarkable women. What poem has moved you to tears?The poems chosen range from the eighth century to today, from Rumi and Shakespeare to Sylvia Plath, W.H. Auden to Carol Ann Du Following the success of their anthology Poems That Make Grown Men Cry, father-and-son team Anthony and Ben Holden, working with Amnesty International, have asked the same revealing question of 100 remarkable women. What poem has moved you to tears?The poems chosen range from the eighth century to today, from Rumi and Shakespeare to Sylvia Plath, W.H. Auden to Carol Ann Duffy, Pablo Neruda and Derek Walcott to Imtiaz Dharker and Warsan Shire. Their themes range from love and loss, through mortality and mystery, war and peace, to the beauty and variety of nature. From Yoko Ono to Judi Dench, Chimamanda Ngozi Adichie to Elena Ferrante, Carol Ann Duffy to Kaui Hart Hemmings, and Joan Baez to Nikki Giovanni, this unique collection delivers private insights into the minds of women whose writing, acting, and thinking are admired around the world. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/poetry_23/index.html"">Poetry</a>
</li>,)","(<p class=""star-rating Four"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/poems-that-make-grown-women-cry_824/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/poems-that-make-grown-women-cry_824/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""Poems That Make Grown Women Cry"" src=""../../media/cache/18/ac/18ac3f16b10a5fc47e603d93335e3f24.jpg""/>"
"('http://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html',)","(<tr>
<th>UPC</th><td>cfeb1e1e0e695b58</td>
</tr>,)","(<title>
    Night Sky with Exit Wounds | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£41.05</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£41.05</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (15 available)</td>
</tr>,)","<meta content=""
    “Reading Vuong is like watching a fish move: he manages the varied currents of English with muscled intuition. His poems are by turns graceful and wonderstruck. His lines are both long and short, his pose narrative and lyric, his diction formal and insouciant. From the outside, Vuong has fashioned a poetry of inclusion.”—The New YorkerOcean Vuong's first full-length collec “Reading Vuong is like watching a fish move: he manages the varied currents of English with muscled intuition. His poems are by turns graceful and wonderstruck. His lines are both long and short, his pose narrative and lyric, his diction formal and insouciant. From the outside, Vuong has fashioned a poetry of inclusion.”—The New YorkerOcean Vuong's first full-length collection aims straight for the perennial &quot;big&quot;—and very human—subjects of romance, family, memory, grief, war, and melancholia. None of these he allows to overwhelm his spirit or his poems, which demonstrate, through breath and cadence and unrepentant enthrallment, that a gentle palm on a chest can calm the fiercest hungers. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/poetry_23/index.html"">Poetry</a>
</li>,)","(<p class=""star-rating One"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/night-sky-with-exit-wounds_822/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/night-sky-with-exit-wounds_822/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""Night Sky with Exit Wounds"" src=""../../media/cache/ff/48/ff48b0696fb97b7f7b5c6d15e372cb70.jpg""/>"
"('http://books.toscrape.com/catalogue/salt_731/index.html',)","(<tr>
<th>UPC</th><td>86cbddb61ea78bb7</td>
</tr>,)","(<title>
    salt. | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£46.78</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£46.78</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (14 available)</td>
</tr>,)","<meta content=""
    Salt is a journey through warmth and sharpness. This collection of poetry explores the realities of multiple identities, language, diasporic life &amp; pain, the self, community, healing, celebration, and love.
"" name=""description""/>","(<li>
<a href=""../category/books/poetry_23/index.html"">Poetry</a>
</li>,)","(<p class=""star-rating Four"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/salt_731/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/salt_731/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""salt."" src=""../../media/cache/c9/92/c9924f9637aef6d9fc8e165be62f69ee.jpg""/>"
